region,regionGSSCode,period,Sales volume,reportingPeriod,avgPrice,date
South West,E12000009,2003-10,13231,monthly,154585,01/10/2003
West Midlands Region,E12000005,2003-10,11359,monthly,118832,01/10/2003
London,E12000007,2003-11,14754,monthly,215556,01/11/2003
North East,E12000001,2003-11,5677,monthly,88701,01/11/2003
South East,E12000008,2003-11,19055,monthly,180240,01/11/2003
South West,E12000009,2003-11,12065,monthly,154304,01/11/2003
West Midlands Region,E12000005,2003-11,10563,monthly,120803,01/11/2003
London,E12000007,2003-12,14839,monthly,216971,01/12/2003
North East,E12000001,2003-12,5747,monthly,89552,01/12/2003
South East,E12000008,2003-12,20275,monthly,180699,01/12/2003
South West,E12000009,2003-12,12271,monthly,157032,01/12/2003
West Midlands Region,E12000005,2003-12,10875,monthly,123394,01/12/2003
London,E12000007,2004-01,12767,monthly,218855,01/01/2004
North East,E12000001,2004-01,3865,monthly,90994,01/01/2004
South East,E12000008,2004-01,15524,monthly,182139,01/01/2004
South West,E12000009,2004-01,9397,monthly,158495,01/01/2004
West Midlands Region,E12000005,2004-01,7782,monthly,122858,01/01/2004
London,E12000007,2004-02,12160,monthly,219804,01/02/2004
North East,E12000001,2004-02,4006,monthly,88520,01/02/2004
South East,E12000008,2004-02,14951,monthly,183091,01/02/2004
South West,E12000009,2004-02,9053,monthly,158169,01/02/2004
West Midlands Region,E12000005,2004-02,8319,monthly,124026,01/02/2004
London,E12000007,2004-03,14409,monthly,221324,01/03/2004
North East,E12000001,2004-03,4888,monthly,93021,01/03/2004
South East,E12000008,2004-03,16856,monthly,184545,01/03/2004
South West,E12000009,2004-03,10237,monthly,161520,01/03/2004
West Midlands Region,E12000005,2004-03,9281,monthly,125958,01/03/2004
London,E12000007,2004-04,14873,monthly,225863,01/04/2004
North East,E12000001,2004-04,5809,monthly,99508,01/04/2004
South East,E12000008,2004-04,19484,monthly,186611,01/04/2004
South West,E12000009,2004-04,12318,monthly,165311,01/04/2004
West Midlands Region,E12000005,2004-04,10496,monthly,129480,01/04/2004
London,E12000007,2004-05,13613,monthly,227330,01/05/2004
North East,E12000001,2004-05,5267,monthly,102162,01/05/2004
South East,E12000008,2004-05,18081,monthly,189893,01/05/2004
South West,E12000009,2004-05,11178,monthly,168379,01/05/2004
West Midlands Region,E12000005,2004-05,9982,monthly,131961,01/05/2004
London,E12000007,2004-06,16163,monthly,230156,01/06/2004
North East,E12000001,2004-06,6201,monthly,106437,01/06/2004
South East,E12000008,2004-06,20246,monthly,192250,01/06/2004
South West,E12000009,2004-06,12566,monthly,172331,01/06/2004
West Midlands Region,E12000005,2004-06,10830,monthly,136181,01/06/2004
London,E12000007,2004-07,17612,monthly,233877,01/07/2004
North East,E12000001,2004-07,6208,monthly,110089,01/07/2004
South East,E12000008,2004-07,21788,monthly,194728,01/07/2004
South West,E12000009,2004-07,13212,monthly,175460,01/07/2004
West Midlands Region,E12000005,2004-07,12045,monthly,138858,01/07/2004
London,E12000007,2004-08,15020,monthly,234836,01/08/2004
North East,E12000001,2004-08,5153,monthly,111699,01/08/2004
