region,Region GSS code,Period,Sales volume,Reporting period,percentage Change ,date
West Midlands Region,E12000005,2002-11,10638,monthly,26.22,01/11/2002
London,E12000007,2002-12,13443,monthly,21.32,01/12/2002
North East,E12000001,2002-12,4946,monthly,24.36,01/12/2002
South East,E12000008,2002-12,17777,monthly,22.33,01/12/2002
South West,E12000009,2002-12,10747,monthly,29.14,01/12/2002
West Midlands Region,E12000005,2002-12,9745,monthly,27.2,01/12/2002
London,E12000007,2003-01,11365,monthly,21.97,01/01/2003
North East,E12000001,2003-01,3888,monthly,23.33,01/01/2003
South East,E12000008,2003-01,13737,monthly,23.24,01/01/2003
South West,E12000009,2003-01,8507,monthly,29.82,01/01/2003
West Midlands Region,E12000005,2003-01,7434,monthly,29.53,01/01/2003
London,E12000007,2003-02,10320,monthly,21.09,01/02/2003
North East,E12000001,2003-02,3762,monthly,24.39,01/02/2003
South East,E12000008,2003-02,12777,monthly,23.63,01/02/2003
South West,E12000009,2003-02,7695,monthly,28.28,01/02/2003
West Midlands Region,E12000005,2003-02,7275,monthly,28.72,01/02/2003
London,E12000007,2003-03,10600,monthly,19,01/03/2003
North East,E12000001,2003-03,4296,monthly,27.28,01/03/2003
South East,E12000008,2003-03,12762,monthly,22.55,01/03/2003
South West,E12000009,2003-03,7973,monthly,26.79,01/03/2003
West Midlands Region,E12000005,2003-03,7602,monthly,28.61,01/03/2003
London,E12000007,2003-04,10380,monthly,16.69,01/04/2003
North East,E12000001,2003-04,4386,monthly,29.92,01/04/2003
South East,E12000008,2003-04,13692,monthly,21.42,01/04/2003
South West,E12000009,2003-04,8786,monthly,26.06,01/04/2003
West Midlands Region,E12000005,2003-04,7781,monthly,27.3,01/04/2003
London,E12000007,2003-05,11169,monthly,15.2,01/05/2003
North East,E12000001,2003-05,5214,monthly,28.02,01/05/2003
South East,E12000008,2003-05,14970,monthly,19.04,01/05/2003
South West,E12000009,2003-05,9136,monthly,23.89,01/05/2003
West Midlands Region,E12000005,2003-05,8829,monthly,26.4,01/05/2003
London,E12000007,2003-06,11990,monthly,12.31,01/06/2003
North East,E12000001,2003-06,5226,monthly,29.25,01/06/2003
South East,E12000008,2003-06,15071,monthly,17.7,01/06/2003
South West,E12000009,2003-06,9537,monthly,21.63,01/06/2003
West Midlands Region,E12000005,2003-06,9142,monthly,23.32,01/06/2003
London,E12000007,2003-07,13468,monthly,11.85,01/07/2003
North East,E12000001,2003-07,5504,monthly,30.83,01/07/2003
South East,E12000008,2003-07,17457,monthly,15.7,01/07/2003
South West,E12000009,2003-07,10928,monthly,19.63,01/07/2003
West Midlands Region,E12000005,2003-07,9720,monthly,23.56,01/07/2003
London,E12000007,2003-08,14417,monthly,8.89,01/08/2003
North East,E12000001,2003-08,5600,monthly,29.78,01/08/2003
South East,E12000008,2003-08,18329,monthly,12.72,01/08/2003
South West,E12000009,2003-08,11956,monthly,16.83,01/08/2003
West Midlands Region,E12000005,2003-08,10411,monthly,23.49,01/08/2003
London,E12000007,2003-09,14741,monthly,8.05,01/09/2003
North East,E12000001,2003-09,5293,monthly,31.45,01/09/2003
South East,E12000008,2003-09,18160,monthly,10.35,01/09/2003
South West,E12000009,2003-09,11524,monthly,15.59,01/09/2003
West Midlands Region,E12000005,2003-09,9881,monthly,20.71,01/09/2003
London,E12000007,2003-10,15741,monthly,7.79,01/10/2003
North East,E12000001,2003-10,6148,monthly,32.28,01/10/2003
South East,E12000008,2003-10,20081,monthly,10.41,01/10/2003
South West,E12000009,2003-10,13231,monthly,14.38,01/10/2003
West Midlands Region,E12000005,2003-10,11359,monthly,20.45,01/10/2003
London,E12000007,2003-11,14754,monthly,6.43,01/11/2003
North East,E12000001,2003-11,5677,monthly,29.5,01/11/2003
South East,E12000008,2003-11,19055,monthly,9.25,01/11/2003
South West,E12000009,2003-11,12065,monthly,12.3,01/11/2003
West Midlands Region,E12000005,2003-11,10563,monthly,19.88,01/11/2003
London,E12000007,2003-12,14839,monthly,6.65,01/12/2003
North East,E12000001,2003-12,5747,monthly,28.87,01/12/2003
South East,E12000008,2003-12,20275,monthly,8.24,01/12/2003
South West,E12000009,2003-12,12271,monthly,13.01,01/12/2003
West Midlands Region,E12000005,2003-12,10875,monthly,20.09,01/12/2003
London,E12000007,2004-01,12767,monthly,5.64,01/01/2004
North East,E12000001,2004-01,3865,monthly,34.77,01/01/2004
South East,E12000008,2004-01,15524,monthly,7.76,01/01/2004
South West,E12000009,2004-01,9397,monthly,12.05,01/01/2004
West Midlands Region,E12000005,2004-01,7782,monthly,17.6,01/01/2004
London,E12000007,2004-02,12160,monthly,6.46,01/02/2004
North East,E12000001,2004-02,4006,monthly,29.42,01/02/2004
South East,E12000008,2004-02,14951,monthly,8.25,01/02/2004
South West,E12000009,2004-02,9053,monthly,12.46,01/02/2004
West Midlands Region,E12000005,2004-02,8319,monthly,19.13,01/02/2004
London,E12000007,2004-03,14409,monthly,7.66,01/03/2004
North East,E12000001,2004-03,4888,monthly,29.33,01/03/2004
South East,E12000008,2004-03,16856,monthly,8,01/03/2004
South West,E12000009,2004-03,10237,monthly,12.44,01/03/2004
